date,crypto,open,high,low,close,volume,SMA_50,SMA_200,EMA_12,EMA_26,BB_high,BB_low,BB_mid,OBV
2000-07-18,BTC,2090.9,2091.7000000000003,2090.1,2091.7,2990000,1845.85,1095.85,2036.0477742429634,1965.9436019944199,2111.6039200200103,1880.0960799799893,1995.85,399000000
2000-07-19,BTC,2100.0,2100.0,2100.0,2100.0,3000000,1855.85,1105.85,2045.8865782055846,1975.8737055503886,2121.3098198508856,1890.3901801491143,2005.85,402000000
2000-07-20,BTC,2110.1,2110.2999999999997,2109.9,2110.3,3010000,1865.85,1115.85,2055.7963354047256,1985.8312088429525,2131.119119889062,1900.5808801109379,2015.85,405010000
2000-07-21,BTC,2120.2,2120.6,2119.7999999999997,2120.6,3020000,1875.85,1125.85,2065.766129957845,1995.814082261993,2141.0323337148493,1910.6676662851505,2025.85,408030000
2000-07-22,BTC,2130.3,2130.9,2129.7000000000003,2130.9,3030000,1885.85,1135.85,2075.7867253489458,2005.8204465388824,2151.04969618015,1920.6503038198496,2035.85,411060000
2000-07-23,BTC,2140.4,2141.2000000000003,2139.6,2141.2,3040000,1895.85,1145.85,2085.8503060644925,2015.8485616100763,2161.1711602438986,1930.5288397561014,2045.85,414100000
2000-07-24,BTC,2150.5,2150.5,2150.5,2150.5,3050000,1905.85,1155.85,2095.7964128238013,2025.8227422315522,2171.04969618015,1940.6503038198498,2055.85,417150000
2000-07-25,BTC,2160.6,2160.7999999999997,2160.4,2160.8,3060000,1915.85,1165.85,2105.796964697063,2035.8210576218075,2181.0323337148493,1950.6676662851505,2065.85,420210000
2000-07-26,BTC,2170.7,2171.1,2170.2999999999997,2171.1,3070000,1925.85,1175.85,2115.843585512899,2045.841720020192,2191.119119889062,1960.580880110938,2075.85,423280000
2000-07-27,BTC,2180.8,2181.4,2180.2000000000003,2181.4,3080000,1935.85,1185.85,2125.929187741684,2055.8830740927706,2201.3098198508856,1970.3901801491143,2085.85,426360000
2000-07-28,BTC,2190.9,2191.7000000000003,2190.1,2191.7,3090000,1945.85,1195.85,2136.0477742429634,2065.9435871229357,2211.6039200200103,1980.0960799799896,2095.85,429450000
2000-07-29,BTC,2200.0,2200.0,2200.0,2200.0,3100000,1955.85,1205.85,2145.8865782055846,2075.873691780496,2221.3098198508856,1990.3901801491143,2105.85,432550000
2000-07-30,BTC,2210.1,2210.2999999999997,2209.9,2210.3,3110000,1965.85,1215.85,2155.7963354047256,2085.831196093052,2231.119119889062,2000.5808801109379,2115.85,435660000
2000-07-31,BTC,2220.2,2220.6,2219.7999999999997,2220.6,3120000,1975.85,1225.85,2165.766129957845,2095.8140704565294,2241.0323337148493,2010.6676662851503,2125.85,438780000
2000-08-01,BTC,2230.3,2230.9,2229.7000000000003,2230.9,3130000,1985.85,1235.85,2175.7867253489458,2105.8204356078977,2251.0496961801505,2020.6503038198493,2135.85,441910000
2000-08-02,BTC,2240.4,2241.2000000000003,2239.6,2241.2,3140000,1995.85,1245.85,2185.8503060644925,2115.8485514887943,2261.1711602438986,2030.528839756101,2145.85,445050000
2000-08-03,BTC,2250.5,2250.5,2250.5,2250.5,3150000,2005.85,1255.85,2195.7964128238013,2125.8227328599946,2271.0496961801505,2040.6503038198493,2155.85,448200000
2000-08-04,BTC,2260.6,2260.7999999999997,2260.4,2260.8,3160000,2015.85,1265.85,2205.796964697063,2135.8210489444396,2281.0323337148498,2050.66766628515,2165.85,451360000
2000-08-05,BTC,2270.7,2271.1,2270.2999999999997,2271.1,3170000,2025.85,1275.85,2215.843585512899,2145.841711985592,2291.119119889062,2060.580880110938,2175.85,454530000
2000-08-06,BTC,2280.8,2281.4,2280.2000000000003,2281.4,3180000,2035.85,1285.85,2225.929187741684,2155.8830666533263,2301.309819850886,2070.390180149114,2185.85,457710000
2000-08-07,BTC,2290.9,2291.7000000000003,2290.1,2291.7,3190000,2045.85,1295.85,2236.0477742429634,2165.9435802345615,2311.6039200200103,2080.0960799799896,2195.85,460900000
2000-08-08,BTC,2300.0,2300.0,2300.0,2300.0,3200000,2055.85,1305.85,2245.8865782055846,2175.873685402372,2321.309819850886,2090.390180149114,2205.85,464100000
2000-08-09,BTC,2310.1,2310.2999999999997,2309.9,2310.3,3210000,2065.85,1315.85,2255.7963354047256,2185.8311901873813,2331.1191198890624,2100.5808801109374,2215.85,467310000
2000-08-10,BTC,2320.2,2320.6,2319.7999999999997,2320.6,3220000,2075.85,1325.85,2265.766129957845,2195.8140649883157,2341.0323337148498,2110.66766628515,2225.85,470530000
2000-08-11,BTC,2330.3,2330.9,2329.7000000000003,2330.9,3230000,2085.85,1335.85,2275.7867253489458,2205.8204305447366,2351.049696180151,2120.650303819849,2235.85,473760000
2000-08-12,BTC,2340.4,2341.2000000000003,2339.6,2341.2,3240000,2095.85,1345.85,2285.8503060644925,2215.848546800682,2361.171160243899,2130.5288397561008,2245.85,477000000
2000-08-13,BTC,2350.5,2350.5,2350.5,2350.5,3250000,2105.85,1355.85,2295.7964128238013,2225.82272851915,2371.049696180151,2140.650303819849,2255.85,480250000
2000-08-14,BTC,2360.6,2360.7999999999997,2360.4,2360.8,3260000,2115.85,1365.85,2305.796964697063,2235.821044925139,2381.03233371485,2150.6676662851496,2265.85,483510000
2000-08-15,BTC,2370.7,2371.1,2370.2999999999997,2371.1,3270000,2125.85,1375.85,2315.843585512899,2245.8417082640176,2391.1191198890624,2160.5808801109374,2275.85,486780000
2000-08-16,BTC,2380.8,2381.4,2380.2000000000003,2381.4,3280000,2135.85,1385.85,2325.929187741684,2255.8830632074237,2401.309819850886,2170.390180149114,2285.85,490060000
2000-08-17,BTC,2390.9,2391.7000000000003,2390.1,2391.7,3290000,2145.85,1395.85,2336.0477742429634,2265.943577043911,2411.6039200200107,2180.096079979989,2295.85,493350000
2000-08-18,BTC,2400.0,2400.0,2400.0,2400.0,3300000,2155.85,1405.85,2345.8865782055846,2275.8736824480657,2421.309819850886,2190.390180149114,2305.85,496650000
2000-08-19,BTC,2410.1,2410.2999999999997,2409.9,2410.3,3310000,2165.85,1415.85,2355.7963354047256,2285.8311874519127,2431.119119889063,2200.580880110937,2315.85,499960000
2000-08-20,BTC,2420.2,2420.6,2419.7999999999997,2420.6,3320000,2175.85,1425.85,2365.766129957845,2295.814062455475,2441.03233371485,2210.6676662851496,2325.85,503280000
2000-08-21,BTC,2430.3,2430.9,2429.7000000000003,2430.9,3330000,2185.85,1435.85,2375.7867253489458,2305.8204281995136,2451.049696180151,2220.650303819849,2335.85,506610000
2000-08-22,BTC,2440.4,2441.2000000000003,2439.6,2441.2,3340000,2195.85,1445.85,2385.8503060644925,2315.8485446291793,2461.1711602438995,2230.5288397561003,2345.85,509950000
2000-08-23,BTC,2450.5,2450.5,2450.5,2450.5,3350000,2205.85,1455.85,2395.7964128238013,2325.8227265084993,2471.049696180151,2240.650303819849,2355.85,513300000
2000-08-24,BTC,2460.6,2460.7999999999997,2460.4,2460.8,3360000,2215.85,1465.85,2405.796964697063,2335.8210430634253,2481.03233371485,2250.6676662851496,2365.85,516660000
2000-08-25,BTC,2470.7,2471.1,2470.2999999999997,2471.1,3370000,2225.85,1475.85,2415.843585512899,2345.8417065402086,2491.119119889063,2260.580880110937,2375.85,520030000
2000-08-26,BTC,2480.8,2481.4,2480.2000000000003,2481.4,3380000,2235.85,1485.85,2425.929187741684,2355.883061611304,2501.3098198508865,2270.3901801491133,2385.85,523410000
2000-08-27,BTC,2490.9,2491.7000000000003,2490.1,2491.7,3390000,2245.85,1495.85,2436.0477742429634,2365.9435755660224,2511.603920020011,2280.0960799799886,2395.85,526800000
2000-08-28,BTC,2500.0,2500.0,2500.0,2500.0,3400000,2255.85,1505.85,2445.8865782055846,2375.8736810796504,2521.3098198508865,2290.3901801491133,2405.85,530200000
2000-08-29,BTC,2510.1,2510.2999999999997,2509.9,2510.3,3410000,2265.85,1515.85,2455.7963354047256,2385.8311861848615,2531.119119889063,2300.580880110937,2415.85,533610000
2000-08-30,BTC,2520.2,2520.6,2519.7999999999997,2520.6,3420000,2275.85,1525.85,2465.766129957845,2395.814061282279,2541.0323337148507,2310.667666285149,2425.85,537030000
2000-08-31,BTC,2530.3,2530.9,2529.7000000000003,2530.9,3430000,2285.85,1535.85,2475.7867253489458,2405.8204271132213,2551.0496961801514,2320.6503038198484,2435.85,540460000
2000-09-01,BTC,2540.4,2541.2000000000003,2539.6,2541.2,3440000,2295.85,1545.85,2485.8503060644925,2415.848543623353,2561.1711602438995,2330.5288397561003,2445.85,543900000
2000-09-02,BTC,2550.5,2550.5,2550.5,2550.5,3450000,2305.85,1555.85,2495.7964128238013,2425.822725577179,2571.0496961801514,2340.6503038198484,2455.85,547350000
2000-09-03,BTC,2560.6,2560.7999999999997,2560.4,2560.8,3460000,2315.85,1565.85,2505.796964697063,2435.8210422010916,2581.0323337148507,2350.667666285149,2465.85,550810000
2000-09-04,BTC,2570.7,2571.1,2570.2999999999997,2571.1,3470000,2325.85,1575.85,2515.843585512899,2445.8417057417514,2591.1191198890633,2360.5808801109365,2475.85,554280000
2000-09-05,BTC,2580.8,2581.4,2580.2000000000003,2581.4,3480000,2335.85,1585.85,2525.929187741684,2455.8830608719923,2601.309819850887,2370.390180149113,2485.85,557760000
2000-09-06,BTC,2590.9,2591.7000000000003,2590.1,2591.7,3490000,2345.85,1595.85,2536.0477742429634,2465.9435748814744,2611.6039200200116,2380.096079979988,2495.85,561250000
2000-09-07,BTC,2600.0,2600.0,2600.0,2600.0,3500000,2355.85,1605.85,2545.8865782055846,2475.8736804458094,2621.309819850887,2390.390180149113,2505.85,564750000
2000-09-08,BTC,2610.1,2610.2999999999997,2609.9,2610.3,3510000,2365.85,1615.85,2555.7963354047256,2485.831185597972,2631.1191198890633,2400.5808801109365,2515.85,568260000
2000-09-09,BTC,2620.2,2620.6,2619.7999999999997,2620.6,3520000,2375.85,1625.85,2565.766129957845,2495.8140607388627,2641.0323337148507,2410.667666285149,2525.85,571780000
2000-09-10,BTC,2630.3,2630.9,2629.7000000000003,2630.9,3530000,2385.85,1635.85,2575.7867253489458,2505.820426610058,2651.049696180152,2420.650303819848,2535.85,575310000
2000-09-11,BTC,2640.4,2641.2000000000003,2639.6,2641.2,3540000,2395.85,1645.85,2585.8503060644925,2515.848543157461,2661.1711602439,2430.5288397561,2545.85,578850000
2000-09-12,BTC,2650.5,2650.5,2650.5,2650.5,3550000,2405.85,1655.85,2595.7964128238013,2525.822725145797,2671.049696180152,2440.650303819848,2555.85,582400000
2000-09-13,BTC,2660.6,2660.7999999999997,2660.4,2660.8,3560000,2415.85,1665.85,2605.796964697063,2535.821041801664,2681.032333714851,2450.6676662851487,2565.85,585960000
